generation;exp_num;collapsed;val_acc;train_acc;lr;num_conv_layers;num_channels;kernels;padding;conv_type;pooling_a_conv;pooling_final;fc_layer;arch_order;in_features
31;1;False;0.112222;0.157037;0.000050;6;[10, 14, 26, 26, 32, 38];[5, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
31;2;False;0.107407;0.145111;0.000050;7;[10, 20, 26, 26, 32, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
31;3;False;0.110123;0.187704;0.000050;7;[10, 14, 26, 26, 26, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1840;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
32;1;False;0.115926;0.165037;0.000050;7;[10, 14, 26, 26, 32, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
32;2;False;0.093333;0.150741;0.000050;7;[10, 14, 26, 26, 26, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
32;3;False;0.117901;0.164667;0.000050;7;[10, 14, 26, 26, 32, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
33;1;False;0.109012;0.167259;0.000050;7;[10, 14, 26, 26, 32, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
33;2;False;0.117778;0.167778;0.000050;7;[10, 14, 26, 26, 32, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
33;3;False;0.110123;0.158593;0.000050;6;[10, 14, 26, 26, 32, 38];[5, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
34;1;False;0.113086;0.155481;0.000050;6;[10, 14, 26, 26, 32, 38];[5, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
34;2;False;0.117407;0.162519;0.000050;7;[10, 14, 26, 26, 32, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
34;3;False;0.104815;0.142148;0.000050;6;[10, 14, 26, 26, 32, 38];[5, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
35;1;False;0.099259;0.178667;0.000050;6;[10, 14, 26, 26, 32, 38];[5, 7, 3, 3, 5, 5];[1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
35;2;False;0.113704;0.131852;0.000050;5;[10, 14, 26, 26, 32];[5, 5, 3, 3, 5];[1, 0, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
35;3;False;0.106667;0.160444;0.000050;6;[10, 14, 26, 26, 32, 38];[5, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72



0;1;False;0.107407;0.176296;0.000050;6;[10, 14, 26, 26, 32, 38];[5, 7, 3, 3, 5, 5];[1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
0;2;False;0.114444;0.171185;0.000050;5;[10, 14, 26, 26, 32];[5, 5, 3, 3, 5];[1, 0, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
0;3;False;0.111852;0.218148;0.000050;6;[10, 14, 26, 26, 32, 38];[5, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
1;1;False;0.110370;0.256074;0.000050;7;[10, 20, 26, 26, 32, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
1;2;False;0.115679;0.258963;0.000050;7;[10, 14, 26, 26, 38, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
1;3;False;0.118148;0.218741;0.000050;6;[10, 14, 26, 26, 32, 38];[5, 5, 3, 3, 7, 5];[1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
2;1;False;0.107160;0.171852;0.000050;8;[10, 14, 26, 32, 38, 38, 38, 38];[5, 5, 3, 3, 5, 5, 7, 5];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
2;2;False;0.102593;0.227037;0.000050;8;[10, 14, 26, 26, 38, 38, 38, 38];[5, 5, 3, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;max;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
2;3;False;0.108889;0.218593;0.000050;7;[10, 14, 26, 26, 38, 38, 44];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
3;1;False;0.114938;0.403481;0.000050;9;[10, 14, 20, 26, 38, 38, 44, 44, 44];[7, 5, 3, 3, 5, 5, 5, 5, 5];[2, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
3;2;False;0.122222;0.222593;0.000050;8;[10, 14, 26, 26, 38, 38, 38, 44];[5, 5, 3, 3, 5, 5, 5, 7];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
3;3;False;0.111481;0.392667;0.000050;7;[10, 14, 20, 26, 38, 38, 44];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
4;1;False;0.122222;0.270074;0.000050;8;[10, 20, 20, 26, 38, 38, 44, 44];[7, 5, 3, 3, 5, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
4;2;False;0.114074;0.411852;0.000050;9;[10, 14, 20, 26, 38, 38, 44, 44, 50];[7, 5, 3, 3, 7, 5, 5, 5, 5];[2, 2, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
4;3;False;0.098765;0.208444;0.000050;9;[10, 14, 20, 26, 38, 44, 44, 44, 44];[7, 5, 3, 3, 5, 5, 5, 5, 5];[2, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
5;1;False;0.117778;0.282222;0.000050;8;[10, 20, 20, 26, 38, 38, 44, 44];[7, 5, 3, 3, 5, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
5;2;False;0.106667;0.203111;0.000050;9;[10, 20, 20, 26, 38, 38, 38, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
5;3;False;0.109630;0.202815;0.000050;9;[10, 20, 20, 26, 38, 38, 44, 44, 44];[7, 5, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
6;1;False;0.126296;0.277185;0.000050;8;[10, 20, 20, 26, 38, 38, 44, 44];[7, 5, 3, 3, 5, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
6;2;False;0.101235;0.188593;0.000050;8;[10, 20, 26, 26, 38, 38, 44, 44];[7, 5, 3, 3, 7, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
6;3;False;0.101111;0.212222;0.000050;9;[10, 20, 20, 26, 38, 38, 44, 44, 44];[7, 5, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
7;1;False;0.120123;0.280889;0.000050;8;[10, 14, 20, 26, 38, 38, 44, 44];[7, 5, 3, 3, 5, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
7;2;False;0.097778;0.396741;0.000050;8;[10, 20, 20, 20, 38, 38, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
7;3;False;0.099259;0.301852;0.000050;8;[10, 14, 20, 26, 38, 38, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
8;1;False;0.103086;0.310074;0.000050;8;[10, 14, 20, 26, 38, 38, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;max;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
8;2;False;0.098519;0.292444;0.000050;8;[10, 14, 20, 26, 38, 38, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
8;3;False;0.100370;0.359481;0.000050;9;[10, 20, 20, 26, 38, 38, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 5];[2, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
9;1;False;0.099383;0.213852;0.000050;9;[10, 14, 20, 26, 38, 38, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
9;2;False;0.103333;0.324519;0.000050;8;[10, 14, 20, 26, 38, 38, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
9;3;False;0.101111;0.346370;0.000050;9;[10, 14, 20, 26, 32, 38, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
10;1;False;0.107037;0.322222;0.000050;9;[10, 14, 20, 20, 38, 38, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
10;2;False;0.099259;0.248815;0.000050;9;[10, 14, 20, 26, 38, 38, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
10;3;False;0.094815;0.287111;0.000050;10;[10, 14, 20, 20, 38, 38, 44, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
11;1;False;0.111852;0.360074;0.000050;9;[10, 14, 20, 20, 38, 38, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
11;2;False;0.102963;0.239926;0.000050;9;[10, 14, 20, 20, 38, 44, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
11;3;False;0.112222;0.314148;0.000050;9;[10, 14, 20, 20, 38, 38, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 5];[2, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
12;1;False;0.102346;0.180222;0.000050;8;[10, 14, 20, 20, 38, 38, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;max;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
12;2;False;0.097037;0.329630;0.000050;9;[10, 14, 20, 20, 38, 38, 44, 44, 44];[7, 7, 5, 3, 5, 5, 5, 3, 3];[2, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
12;3;False;0.090741;0.414519;0.000050;9;[10, 14, 20, 20, 32, 38, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
13;1;False;0.100370;0.361926;0.000050;9;[10, 14, 20, 20, 38, 38, 38, 44, 44];[7, 5, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
13;2;False;0.095185;0.234593;0.000050;10;[10, 14, 20, 20, 38, 38, 44, 44, 44, 50];[7, 7, 3, 5, 5, 5, 5, 3, 3, 3];[2, 1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
13;3;False;0.106790;0.248815;0.000050;9;[10, 14, 14, 20, 38, 38, 44, 44, 44];[7, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1200;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
14;1;False;0.107037;0.358889;0.000050;9;[10, 14, 14, 20, 38, 44, 44, 44, 44];[5, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1072;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
14;2;False;0.098889;0.208148;0.000050;9;[10, 14, 14, 20, 38, 38, 44, 44, 50];[7, 7, 3, 3, 5, 5, 5, 3, 3];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1072;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
